video_id,category
-0ziqk9cZRM,10
-5kuoKHNxvc,25
-7LDQ4hyIrw,25
-8v1pkoDWs4,25
-9i_S6zrz8A,25
0-TBPAozd7U,10
01TtMipQ-U8,25
01yH4EsH6hI,25
04ln8bF6-Pw,25
08cGWBKOeUU,1
0Acllt_u8zk,25
0bEc7ccPqk8,25
0C3IVnlBig8,24
0CTdqROI_NA,24
0dDQtA-Mltk,25
0EXyHsavqys,25
0G-lghbFUEs,25
0h8UcQslSAc,25
0KyHyfQYY3Q,10
0LuCd1i13Cc,25
0obNBSWyilM,25
0OC8pvC2cHs,25
0ornwTlOZJ4,25
0rLSBy57xx0,25
0UngeZZGLjE,25
0vANeT930Bg,25
0WuzKB8IT2k,22
0XpKhvq0lWM,25
0Z6xPPvcAIE,25
0zeWr-N6e4w,25
0Zro2aUqT-o,25
1-GL0gcdBIA,25
14t3NcNWsYs,25
15aLXbB-GOQ,25
18CpE1Lrl8U,25
1a3-a_zaJRM,25
1AvwYzVFoGc,22
1BnytzKKGEI,10
1c4ZO7_wZqc,25
1f18irP--O8,10
1ffTEEWcGJo,25
1gM59gkI2RE,25
1IG6H7pkDX8,25
1ja1-KEhGC8,24
1K4-TjULfYg,22
1K7c7EVXCRM,10
1KT5z-rkZrM,22
1M-rKIJjlHI,25
1M159MGLV_Y,25
1mfg0UwrDUk,26
1MoFLij2ZyY,25
1n5-B3P001E,25
1o80Sd9DV6I,25
1Ob8Ox3ojlk,25
1OrBBsEx4x0,25
1paFkHnm01M,25
1pgpXF1vKdI,24
1Rr5VRmlxSo,25
1SxuTTLe9Uo,10
1Uwpjo3B9tI,10
1U_20qqA8ag,10
1VnyyL-tsjQ,25
1WDURXnP_2s,25
1x7FYB33E64,25
1XC5hYeQaps,25
1ygGvtF2ZuM,10
1z255GKfyjQ,25
1_EG3dN3AhU,25
2-XlRiWjHs0,22
20Jhm-OnOLo,10
21Q_Twr8O4I,10
25GkvgbElXU,25
25njIEB8zSc,25
26VfmMtugd8,25
27s4oYq8eKA,22
28xP2PkJetM,25
296Gi_nnbho,10
29X1GFso6y0,10
2A-w-BjqW8w,25
