video_id,channelId
-0ziqk9cZRM,UCc052CoYw9cF27quifoL_mg
-5kuoKHNxvc,UCttspZesZIDEwwpVIgoZtWQ
-7LDQ4hyIrw,UCttspZesZIDEwwpVIgoZtWQ
-8v1pkoDWs4,UCt4t-jeY85JegMlZ-E5UWtA
-9i_S6zrz8A,UCttspZesZIDEwwpVIgoZtWQ
0-TBPAozd7U,UCo0dkq4y2wBfffGRnI_RVgg
01TtMipQ-U8,UCttspZesZIDEwwpVIgoZtWQ
01yH4EsH6hI,UCt4t-jeY85JegMlZ-E5UWtA
04ln8bF6-Pw,UCt4t-jeY85JegMlZ-E5UWtA
08cGWBKOeUU,UC1iwdTRSV1Z2DMopttg8ocA
0Acllt_u8zk,UCttspZesZIDEwwpVIgoZtWQ
0bEc7ccPqk8,UCttspZesZIDEwwpVIgoZtWQ
0C3IVnlBig8,UC6USXGinvMufyevDly9_P_w
0CTdqROI_NA,UCZFMm1mMw0F81Z37aaEzTUA
0dDQtA-Mltk,UCttspZesZIDEwwpVIgoZtWQ
0EXyHsavqys,UCttspZesZIDEwwpVIgoZtWQ
0G-lghbFUEs,UCttspZesZIDEwwpVIgoZtWQ
0h8UcQslSAc,UCZFMm1mMw0F81Z37aaEzTUA
0KyHyfQYY3Q,UCRh-4WUJx8M86gUYL2pyKSQ
0LuCd1i13Cc,UCttspZesZIDEwwpVIgoZtWQ
0obNBSWyilM,UCttspZesZIDEwwpVIgoZtWQ
0OC8pvC2cHs,UCIvaYmXn910QMdemBG3v1pQ
0ornwTlOZJ4,UCttspZesZIDEwwpVIgoZtWQ
0rLSBy57xx0,UCZFMm1mMw0F81Z37aaEzTUA
0UngeZZGLjE,UCttspZesZIDEwwpVIgoZtWQ
0vANeT930Bg,UCttspZesZIDEwwpVIgoZtWQ
0WuzKB8IT2k,UC4ni5kbFqRW8lHapAr4Ug_g
0XpKhvq0lWM,UCttspZesZIDEwwpVIgoZtWQ
0Z6xPPvcAIE,UCttspZesZIDEwwpVIgoZtWQ
0zeWr-N6e4w,UCttspZesZIDEwwpVIgoZtWQ
0Zro2aUqT-o,UCqooPdkTiDLwNBrdlA4M8Gg
1-GL0gcdBIA,UCnNXXdEbfECToXzeWvywrOg
14t3NcNWsYs,UCt4t-jeY85JegMlZ-E5UWtA
15aLXbB-GOQ,UCttspZesZIDEwwpVIgoZtWQ
18CpE1Lrl8U,UCttspZesZIDEwwpVIgoZtWQ
1a3-a_zaJRM,UCttspZesZIDEwwpVIgoZtWQ
1AvwYzVFoGc,UCRWFSbif-RFENbBrSiez1DA
1BnytzKKGEI,UC2BFNDQd4rnoITrNJUPJLXg
1c4ZO7_wZqc,UCt4t-jeY85JegMlZ-E5UWtA
1f18irP--O8,UC2GXNqco-k7fwg2SMM6SAzQ
1ffTEEWcGJo,UCttspZesZIDEwwpVIgoZtWQ
1gM59gkI2RE,UCttspZesZIDEwwpVIgoZtWQ
1IG6H7pkDX8,UCt4t-jeY85JegMlZ-E5UWtA
1ja1-KEhGC8,UCUCHZJaVG-79d5xf891DvMg
1K4-TjULfYg,UCcQV6BtevD_66kUpKnf5r8g
1K7c7EVXCRM,UCKkhpEVrQXkDkrSBbO1irIA
1KT5z-rkZrM,UCRWFSbif-RFENbBrSiez1DA
1M-rKIJjlHI,UCttspZesZIDEwwpVIgoZtWQ
1M159MGLV_Y,UCttspZesZIDEwwpVIgoZtWQ
1mfg0UwrDUk,UCZFMm1mMw0F81Z37aaEzTUA
1MoFLij2ZyY,UCZFMm1mMw0F81Z37aaEzTUA
1n5-B3P001E,UCZFMm1mMw0F81Z37aaEzTUA
1o80Sd9DV6I,UCttspZesZIDEwwpVIgoZtWQ
1Ob8Ox3ojlk,UCttspZesZIDEwwpVIgoZtWQ
1OrBBsEx4x0,UCZFMm1mMw0F81Z37aaEzTUA
1paFkHnm01M,UCttspZesZIDEwwpVIgoZtWQ
1pgpXF1vKdI,UCRh-4WUJx8M86gUYL2pyKSQ
1Rr5VRmlxSo,UCYPvAwZP8pZhSMW8qs7cVCw
1SxuTTLe9Uo,UC2GXNqco-k7fwg2SMM6SAzQ
1Uwpjo3B9tI,UCRh-4WUJx8M86gUYL2pyKSQ
1U_20qqA8ag,UC2BFNDQd4rnoITrNJUPJLXg
1VnyyL-tsjQ,UCt4t-jeY85JegMlZ-E5UWtA
1WDURXnP_2s,UCZFMm1mMw0F81Z37aaEzTUA
1x7FYB33E64,UCt4t-jeY85JegMlZ-E5UWtA
1XC5hYeQaps,UCZFMm1mMw0F81Z37aaEzTUA
1ygGvtF2ZuM,UCRh-4WUJx8M86gUYL2pyKSQ
1z255GKfyjQ,UCt4t-jeY85JegMlZ-E5UWtA
1_EG3dN3AhU,UCZFMm1mMw0F81Z37aaEzTUA
2-XlRiWjHs0,UCKkhpEVrQXkDkrSBbO1irIA
20Jhm-OnOLo,UCNNmjEYHNKklmLe8-FkKpBg
21Q_Twr8O4I,UCqwUQ-gb3ucBowxk3867p-A
25GkvgbElXU,UCttspZesZIDEwwpVIgoZtWQ
25njIEB8zSc,UCttspZesZIDEwwpVIgoZtWQ
26VfmMtugd8,UC6_VCPSppkIIZSkF1vWIcEw
27s4oYq8eKA,UCRWFSbif-RFENbBrSiez1DA
28xP2PkJetM,UCZFMm1mMw0F81Z37aaEzTUA
296Gi_nnbho,UCcBBLGI_lH5xV_zjDsvOU9w
29X1GFso6y0,UCRh-4WUJx8M86gUYL2pyKSQ
2A-w-BjqW8w,UCZFMm1mMw0F81Z37aaEzTUA
2aroUWSjFaA,UCttspZesZIDEwwpVIgoZtWQ
2BZhQ_pjaoA,UCRh-4WUJx8M86gUYL2pyKSQ
2cBmNrko0HI,UCZFMm1mMw0F81Z37aaEzTUA
2CYJyRPyOi4,UCt4t-jeY85JegMlZ-E5UWtA
2Da9eKcXML4,UCttspZesZIDEwwpVIgoZtWQ
2E7G7HedLD4,UCttspZesZIDEwwpVIgoZtWQ
2eDBoMdXaQM,UCZFMm1mMw0F81Z37aaEzTUA
2HM5HOjiQhk,UC1iwdTRSV1Z2DMopttg8ocA
2inwXIu-21I,UCgcU_su4hubXhPY8sTmpY8w
2iSBxr-bi8c,UCiCnPY--pbn5S8JkJdV2PbQ
2J7hJjrXRGA,UCRh-4WUJx8M86gUYL2pyKSQ
2K6Ci0mz6nc,UCZFMm1mMw0F81Z37aaEzTUA
2mE71CtqXns,UCttspZesZIDEwwpVIgoZtWQ
2meP6nRAaEs,UCttspZesZIDEwwpVIgoZtWQ
2nUEnAtG-p0,UCRh-4WUJx8M86gUYL2pyKSQ
2OHsaKUTeZA,UCZFMm1mMw0F81Z37aaEzTUA
2ok-EjBJFww,UCttspZesZIDEwwpVIgoZtWQ
2oYYwUrCf9c,UCttspZesZIDEwwpVIgoZtWQ
2Pcin9xR19o,UCZFMm1mMw0F81Z37aaEzTUA
2vZPGNhQjhs,UCZFMm1mMw0F81Z37aaEzTUA
2WasZbkHh_s,UCttspZesZIDEwwpVIgoZtWQ
2wbPHg6jFgI,UCaI6qWhg6BMHx3keDO2OD0Q
2WOea0aKw9s,UCRWFSbif-RFENbBrSiez1DA
2wrIxFEgxiU,UCttspZesZIDEwwpVIgoZtWQ
2xDMy2s2MuQ,UCRh-4WUJx8M86gUYL2pyKSQ
2xGcFW94Jzg,UCttspZesZIDEwwpVIgoZtWQ
2yVUuQv1OsE,UCIvaYmXn910QMdemBG3v1pQ
2ZDL2l5LTYU,UCttspZesZIDEwwpVIgoZtWQ
2ZQ1N5dGzNU,UCZFMm1mMw0F81Z37aaEzTUA
3-WtDFhYRPM,UCKkhpEVrQXkDkrSBbO1irIA
301jE12CNz4,UCttspZesZIDEwwpVIgoZtWQ
30coTQkx4-A,UCttspZesZIDEwwpVIgoZtWQ
33cYQldIEJU,UCRWFSbif-RFENbBrSiez1DA
33RKkJBaJ1c,UCRWFSbif-RFENbBrSiez1DA
35sbGCvC1QQ,UCRh-4WUJx8M86gUYL2pyKSQ
38ToLizcrj8,UCt4t-jeY85JegMlZ-E5UWtA
3aLUn2qoA1Y,UCRh-4WUJx8M86gUYL2pyKSQ
3BMnsn7J7j8,UCttspZesZIDEwwpVIgoZtWQ
3Cgf4WTDph8,UCZxu0dMOx9JpYsWkyDwunAQ
3CKbVVuaHSM,UCttspZesZIDEwwpVIgoZtWQ
3dCD96xS6To,UCRWFSbif-RFENbBrSiez1DA
3DuZGDQv3ys,UCRWFSbif-RFENbBrSiez1DA
3DxDE5ZNSKc,UCttspZesZIDEwwpVIgoZtWQ
3EPijgrvDBs,UCy2fvV-mH_4AcIgqnLg9uDw
3gPNXfHbLts,UCt4t-jeY85JegMlZ-E5UWtA
3h-9gwMs94A,UC2GwMhJ9ffCY5hR_-cIz1Bw
3hovOXcrZSQ,UCttspZesZIDEwwpVIgoZtWQ
3hoVPstapEQ,UCttspZesZIDEwwpVIgoZtWQ
3JE2ByKuLGU,UCZFMm1mMw0F81Z37aaEzTUA
3KaHMd6v210,UCt4t-jeY85JegMlZ-E5UWtA
3p7sKKLopoI,UCt4t-jeY85JegMlZ-E5UWtA
3SwQc4E1fRc,UCttspZesZIDEwwpVIgoZtWQ
3unowxuMVLU,UCttspZesZIDEwwpVIgoZtWQ
3VHKlRXfnjI,UCttspZesZIDEwwpVIgoZtWQ
3y4s_0cw3oc,UCZFMm1mMw0F81Z37aaEzTUA
3ZKo575FzTc,UCRh-4WUJx8M86gUYL2pyKSQ
3zNZ4HBOFe0,UCRh-4WUJx8M86gUYL2pyKSQ
3_ItHv9nkXI,UCt4t-jeY85JegMlZ-E5UWtA
42kMGTgSHLI,UCZFMm1mMw0F81Z37aaEzTUA
45hY7QY3OKo,UCZFMm1mMw0F81Z37aaEzTUA
45Vf-cckYks,UCttspZesZIDEwwpVIgoZtWQ
46JQY6Kv5k4,UCttspZesZIDEwwpVIgoZtWQ
470kIwPvXuQ,UCXkWZDR3L7mJlq9p-n12MVw
47K6a6weLLI,UCttspZesZIDEwwpVIgoZtWQ
4b1djXbg2_8,UCZFMm1mMw0F81Z37aaEzTUA
4cOlgj8hScc,UCldCnzQZTcb2Idb3gEMm8Iw
4DImH2wg-OY,UCttspZesZIDEwwpVIgoZtWQ
4G6Ufk_Qlc4,UCZFMm1mMw0F81Z37aaEzTUA
4GEjqtE-tdA,UCZFMm1mMw0F81Z37aaEzTUA
4ggXVMRFxqw,UCttspZesZIDEwwpVIgoZtWQ
4Gp1UtVZ1Z4,UCom1SkQuUMvCTVELOrQp0Vw
4h9wkye-dn8,UCZFMm1mMw0F81Z37aaEzTUA
4hxC_XJBnt4,UCttspZesZIDEwwpVIgoZtWQ
4INN9OoMxJM,UCRh-4WUJx8M86gUYL2pyKSQ
4IuKHB7ncc8,UCt4t-jeY85JegMlZ-E5UWtA
4JqK77hWdtc,UCttspZesZIDEwwpVIgoZtWQ
4kGJA53dsjQ,UCZFMm1mMw0F81Z37aaEzTUA
4L-zmJK780s,UC2GXNqco-k7fwg2SMM6SAzQ
4lDM7YtEBUc,UCt4t-jeY85JegMlZ-E5UWtA
4mMuMXHxFwU,UCRh-4WUJx8M86gUYL2pyKSQ
4NGtcHFRtaw,UCttspZesZIDEwwpVIgoZtWQ
4P1cQOEcybI,UCttspZesZIDEwwpVIgoZtWQ
4qL2juN58uU,UCZFMm1mMw0F81Z37aaEzTUA
4qqEGxZ4fwU,UCeTKpxSeEzmnEE2kIa8ijbw
4rgWDH3TAYg,UCt4t-jeY85JegMlZ-E5UWtA
4RXQgPYFy0g,UCZFMm1mMw0F81Z37aaEzTUA
4sQf-wNG-ug,UCt4t-jeY85JegMlZ-E5UWtA
4t1LyrLNGzI,UC1iwdTRSV1Z2DMopttg8ocA
4T9UTLBxV2M,UCRh-4WUJx8M86gUYL2pyKSQ
4U8AFoAqmWs,UCU0CLLHZoKURrwMXGlv90Og
4VfSHxWXE3c,UCt4t-jeY85JegMlZ-E5UWtA
4Vg8jmFoyr8,UCRWFSbif-RFENbBrSiez1DA
4vKb0PhNaTQ,UCRh-4WUJx8M86gUYL2pyKSQ
4VyNEU9iN2c,UCttspZesZIDEwwpVIgoZtWQ
4Wo-_7AIPrQ,UCttspZesZIDEwwpVIgoZtWQ
4xPH8IMum3c,UCRh-4WUJx8M86gUYL2pyKSQ
4xRLPC7y9Rc,UCttspZesZIDEwwpVIgoZtWQ
4YlQaYkIqwQ,UCttspZesZIDEwwpVIgoZtWQ
50wUDYNLVOQ,UCttspZesZIDEwwpVIgoZtWQ
50yuueCgWwg,UCttspZesZIDEwwpVIgoZtWQ
527m-Xtnq7o,UCttspZesZIDEwwpVIgoZtWQ
52gARKnrLDA,UCttspZesZIDEwwpVIgoZtWQ
54DX1FUdoZg,UCttspZesZIDEwwpVIgoZtWQ
57WT1m5WEZc,UCzACdAt-Ovt0mCVWGCThpOw
5Bl8-WT_13I,UCRh-4WUJx8M86gUYL2pyKSQ
