video_id,title,description
-0ziqk9cZRM,Darza Khulya Dekhum Jare | Swapna Mukherjee | Geet Sangeet | Bengali Songs,"Song: Darza Khulya Dekhum Jare
Album: Geet Sangeet 
Cast: Chumki Chowdhury, Abhishek Chatterjee
Singer: Swapna Mukherjee
Music: Mrinal Bandhyapadhya
Lyrics: Anjan Chowdhury
Label: MAYUR CASSETTES (Gathani)
Director: Subhas Sen
Producer: A.C.Production"
-5kuoKHNxvc,New Notes of Rs 20 and Rs 50 to be Out Soon,"New notes of Rs 20 and Rs 50 to be out soon. Modi government already has demonetised old notes of Rs 500 and Rs 1000.

SUBSCRIBE to India TV Here: http://goo.gl/fcdXM0

Follow India TV on Social Media:
Facebook : https://www.facebook.com/indiatvnews
Twitter : https://twitter.com/indiatvnews

Download India TV Android App here: http://goo.gl/kOQvVB

For More Videos Visit Here: 
http://www.indiatvnews.com/video/"
-7LDQ4hyIrw,Modi Government Launches Cash Prize Scheme to Promote Digital Payments,"Demonetisation: Government launches cash prize scheme to promote digital payments. Under the lucky grahak yojana scheme, 15000 winners will be awarded daily for 100 days, starting from December 25, with Rs 1000 each. The scheme will also see a weekly draw for seven winners with a maximum award of one crore.

SUBSCRIBE to India TV Here: http://goo.gl/fcdXM0

Follow India TV on Social Media:
Facebook: https://www.facebook.com/indiatvnews
Twitter: https://twitter.com/indiatvnews

Download India TV Android App here: http://goo.gl/kOQvVB

For More Videos Visit Here: 
http://www.indiatvnews.com/video/"
-8v1pkoDWs4,Hallabol: DGMO Says Retaliatory Action On Uri Attacks Will Be Taken On A Well Planned Manner,"The DGMO has said in a press conference that retaliatory action on Uri attacks will be done in a well-planned manner. 


Follow us:
YouTube: https://www.youtube.com/user/aajtaktv?sub_confirmation=1
Twitter: https://twitter.com/aajtak
Facebook: http://www.facebook.com/aajtak

Tags: Fast News,Breaking News,Top Headlines,Super fast news,Khabare Superfast,Superfast!,news,sensational news,political news,sports news,Super fast,Jawaharlal Nehru University,controversy,students,union leader,sedition,anti-national’ slogans,Parliament attack,Kanhaiya Kumar,Rohith Vemula,Manish Sisodia,Nirbhaya Case,protests,Juvenile,Delhi Gang Rapist,DUSU,Delhi University Students Union,Jawaharlal Nehru University Students Union,JNUSU,Jantar Mantar,demonstrations,Union Finance Minister,Quota ,Arun Jaitley,criminal,defamation,Delhi Chief Minister,Patiala House,AAP,Arvind Kejriwal,DDCA,Salman Khan,Acquittal,Salman Khan (Film Actor),Bollywood,Bollywood Str,Asaduddin,Owaisi,AIMIM,Bharat Mata Ki Jai,RSS,Bombay High Court,Congress,Sonia Gandhi,Rahul Gandhi,trial court,National Herald case,Gandhi,Congress,BJP,National Herald,Subramanian Swamy,Pakistan,Narendra Modi,Nawaz Sharif,Pakistani Terrorists,Pathankot,Uttarakhand"
-9i_S6zrz8A,"Exemption on Old Notes of Rs 500, 1000 for Certain Categories to End Today","Exemption on old series of Rs 500, 1000 notes for certain categories to end today. Chaos are expected from tomorrow. After the demonetisation of Rs 500 and Rs 1000 notes, Modi government had permitted the use of old notes at public utilities such as government hospitals, petrol pumps, railway ticketing.

SUBSCRIBE to India TV Here: http://goo.gl/fcdXM0

Follow India TV on Social Media:
Facebook: https://www.facebook.com/indiatvnews
Twitter: https://twitter.com/indiatvnews

Download India TV Android App here: http://goo.gl/kOQvVB

For More Videos Visit Here:
http://www.indiatvnews.com/video/"
0-TBPAozd7U,NABC 2012 Sunday Mehreen Bengali songs,NABC 2012 Sunday Mehreen Bengali songs
01TtMipQ-U8,Interview of Jeweller Rajesh Verma on Pathankot Terror Attack,"Interview of jeweller Rajesh Verma on Pathankot terror attack. He was kidnapped by Pakistani terrorists. He is friend of Gurdaspur SP Salwinder Singh and was driving. Terrorist cut his throat and left him to die.

Six terrorists killed in terror attack at Pathankot Air Force Station in Punjab. Pathankot is a key air base for MiG-21 Bison fighters and Mi-35 attack helicopters, located 50 kilometers from Indo-Pak border. Pakistan-backed United Jihad Council's 'Highway Squad' claims responsibility for Pathankot terrorist attack.

SUBSCRIBE to India TV Here: http://goo.gl/fcdXM0

Follow India TV on Social Media:
Facebook: https://www.facebook.com/indiatvnews
Twitter: https://twitter.com/indiatvnews

Download India TV Android App here: http://goo.gl/kOQvVB

For More Videos Visit Here:
http://www.indiatvnews.com/video/"
01yH4EsH6hI,Home Minister Rajnath Singh Calls High Level Meeting On Uri Attacks,"Home minister Rajnath Singh has called a high level meeting in North Block over the Uri attacks. Defense minister Manohar Parrikar will be present in the meeting. 


Follow us:
YouTube: https://www.youtube.com/user/aajtaktv?sub_confirmation=1
Twitter: https://twitter.com/aajtak
Facebook: http://www.facebook.com/aajtak

Tags: Fast News,Breaking News,Top Headlines,Super fast news,Khabare Superfast,Superfast!,news,sensational news,political news,sports news,Super fast,Jawaharlal Nehru University,controversy,students,union leader,sedition,anti-national’ slogans,Parliament attack,Kanhaiya Kumar,Rohith Vemula,Manish Sisodia,Nirbhaya Case,protests,Juvenile,Delhi Gang Rapist,DUSU,Delhi University Students Union,Jawaharlal Nehru University Students Union,JNUSU,Jantar Mantar,demonstrations,Union Finance Minister,Quota ,Arun Jaitley,criminal,defamation,Delhi Chief Minister,Patiala House,AAP,Arvind Kejriwal,DDCA,Salman Khan,Acquittal,Salman Khan (Film Actor),Bollywood,Bollywood Str,Asaduddin,Owaisi,AIMIM,Bharat Mata Ki Jai,RSS,Bombay High Court,Congress,Sonia Gandhi,Rahul Gandhi,trial court,National Herald case,Gandhi,Congress,BJP,National Herald,Subramanian Swamy,Pakistan,Narendra Modi,Nawaz Sharif,Pakistani Terrorists,Pathankot,Uttarakhand"
04ln8bF6-Pw,India Drops Hints Of Water War With Pakistan,"Amid plummeting ties over the Kashmir unrest and Uri terror attack, India today did not rule out scrapping the Indus water treaty with Pakistan if it doesn't act against terror from its soil.  

Follow us:
YouTube: https://www.youtube.com/user/aajtaktv?sub_confirmation=1
Twitter: https://twitter.com/aajtak
Facebook: http://www.facebook.com/aajtak

Tags: Fast News,Breaking News,Top Headlines,Super fast news,Khabare Superfast,Superfast!,news,sensational news,political news,sports news,Super fast,Jawaharlal Nehru University,controversy,students,union leader,sedition,anti-national’ slogans,Parliament attack,Kanhaiya Kumar,Rohith Vemula,Manish Sisodia,Nirbhaya Case,protests,Juvenile,Delhi Gang Rapist,DUSU,Delhi University Students Union,Jawaharlal Nehru University Students Union,JNUSU,Jantar Mantar,demonstrations,Union Finance Minister,Quota ,Arun Jaitley,criminal,defamation,Delhi Chief Minister,Patiala House,AAP,Arvind Kejriwal,DDCA,Salman Khan,Acquittal,Salman Khan (Film Actor),Bollywood,Bollywood Str,Asaduddin,Owaisi,AIMIM,Bharat Mata Ki Jai,RSS,Bombay High Court,Congress,Sonia Gandhi,Rahul Gandhi,trial court,National Herald case,Gandhi,Congress,BJP,National Herald,Subramanian Swamy,Pakistan,Narendra Modi,Nawaz Sharif,Pakistani Terrorists,Pathankot,Uttarakhand"
08cGWBKOeUU,Bengali 2017 Folk Song | Pita Matai Kasto Kore | Ramkanai Das | SAD SONG | Beethoven Record,"Presenting You The New Bengali Songs Pita Matai Kasto Kore From The Album Jeevan Pather Yatri By  Beethoven Records.
 

● Album : Jeevan Pather Yatri

● Song : Pita Matai Kasto Kore

● Singer : Ramkanai Das

● Lyrics : Gobinda

● Music : Gobinda

● Label : Beethoven Record

● Category : Traditional And Folk

● Language : Bengali                        


▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

Subscribe Us For Free At :  http://goo.gl/iZts8P

""If you like the Video, Don't forget to Like , Share and leave your comments"""
